Name,price,EPS,delEPS,netrate
台達電子,268.0,10.32,-999,28.7
群聯,477.5,41.34,-999,30.5
台積電,598.0,23.01,-999,51.6
華邦電子,32.05,3.42,-999,42.7
瑞昱,446.0,23.98,-999,49.6
敦陽科,93.5,6.0,-999,24.3
宏達電,59.3,-999,-999,31.1
大立光電,1965.0,139.28,-999,59.9
增你強,40.55,3.25,-999,5.93
台灣大,106.0,3.9,-999,20.1
興富發,45.75,6.45,-999,31.0
長榮,132.5,45.57,-999,61.7
陽明,122.0,48.73,-999,63.9
華航,26.35,1.67,-999,16.8
遠東銀,11.85,0.84,-999,-999
華南金,23.65,1.3,-999,-999
富邦金,75.0,11.32,-999,-999
聯發科,971.0,70.56,-999,46.9
華通,53.0,4.31,-999,18.1
萬海,153.5,42.35,-999,59.1
友達,20.65,6.44,-999,24.5
中鋼,40.0,4.02,-999,20.4
力積電,54.1,4.92,-999,42.0
南紡,23.3,1.77,-999,16.3
王道銀行,10.3,0.63,-999,-999
長榮航,31.0,1.31,-999,18.6
群創,17.15,4.99,-999,29.4
聯電,53.3,4.57,-999,33.8
金寶,16.2,0.01,-999,6.33
國泰金,63.5,10.34,-999,-999
