n Business WeeklyCDN NEWS外資買超154.67億 搶進晶圓雙雄及國泰金、富邦金台股昨天強勁反彈，指數終場收漲152.85點。外資買超新台幣154.67億元，觀察外資買超前10名個股，同步買超晶圓雙雄台積電、聯電及兩大金控國泰金、富邦金。隨著電子股勁揚1.36%，台股突破17800點，加權指數收在17814.33點，漲152.8 ,2021-07-13 13:05:32.078082
tw22 小時霸氣老闆！國泰金為19萬員工及眷屬投保防疫險企業防疫大手筆！ 國泰金控 ,2021-07-13 13:05:32.078209
CNYes1 天半年賺贏去年全年！國泰金賺914億、富邦金EPS達8.29，獲利引擎是⋯金控雙雄今天先後公布獲利，在積極實現資本利得與投資績效良好帶動下，國泰金前6月大賺新台幣914.6億，創新高並超越去年全年水準；富邦金EPS高達8.29元、續創新高。各自蟬聯金控獲利王及EPS之冠。 國泰金今早公布最新獲利，6月稅後淨利129.5億元 ,2021-07-13 13:05:32.079141
n Business Weekly1 天上半年成績揭曉！國泰金大賺915億、富邦金EPS達8.29元金控雙雄今天先後公布獲利，在積極實現資本利得與投資績效良好帶動下，國泰金前6月大賺新台幣914.6億，創新高並超越去年全年水準；富邦金EPS高達8.29元、續創新高。各自蟬聯金控獲利王及EPS之冠。國泰金昨（11）公布最新獲利，6月稅後淨利129.5 ,2021-07-13 13:05:32.080059
中时电子报1 天國泰金控及旗下8公司 霸氣為員工與眷屬納保「防疫險」記者陳建興／台北報導 ,2021-07-13 13:05:32.080843
CDN NEWS19 小時© 2021 Microsoft隱私權和 Cookie法律聲明廣告關於我們的廣告說明意見反應




,2021-07-13 13:05:32.080975
